Erbach (Württ),4,Erbach (Württ),"{'type': 'Point', 'coordinates': [9.894833, 48.325902]}"
Erftstadt,4,Erftstadt,"{'type': 'Point', 'coordinates': [6.832955, 50.807093]}"
Erftstadt,4,Erftstadt,"{'type': 'Point', 'coordinates': [6.832955, 50.807093]}"
Erfurt Hbf,2,Erfurt,"{'type': 'Point', 'coordinates': [11.038499, 50.972551]}"
Erkelenz,4,Erkelenz,"{'type': 'Point', 'coordinates': [6.32172, 51.076564]}"
Erkner,3,Erkner,"{'type': 'Point', 'coordinates': [13.7522435, 52.4275606]}"
Erlangen,3,Erlangen,"{'type': 'Point', 'coordinates': [11.0016382, 49.5958303]}"
Erzhausen,4,Erzhausen,"{'type': 'Point', 'coordinates': [8.650807, 49.950731]}"
Erzingen (Baden),4,Klettgau,"{'type': 'Point', 'coordinates': [8.430123, 47.659541]}"
Eschhofen,4,Limburg a. d. Lahn,"{'type': 'Point', 'coordinates': [8.10492, 50.393586]}"
Eschweiler Hbf,4,Eschweiler,"{'type': 'Point', 'coordinates': [6.251937, 50.813532]}"
Essen Hbf,1,Essen,"{'type': 'Point', 'coordinates': [7.014793, 51.451355]}"
Essen Stadtwald,4,Essen,"{'type': 'Point', 'coordinates': [7.023296, 51.422853]}"
Essen West,4,Essen,"{'type': 'Point', 'coordinates': [6.979798, 51.454497]}"
